GUN.AZ — ФИНАЛЬНАЯ ТАБЛИЦА ПАРСИНГА | 158 продуктов | 2-3 бренда на ключевые | Средняя цена,,,,,,,,,,,,,,,,,,,,,,,,,,
"Публикуем СРЕДНЮЮ цену по брендам. Бренды — внутренняя кухня. Пользователь видит: «Süd 2.5%, 1L — 2.59₼» без бренда.",,,,,,,,,,,,,,,,,,,,,,,,,,
№,Кат.,Продукт (RU),Məhsul (AZ),Вид,Ед.,П,Бренд 1 (Wolt),Бренд 1 (Wolt) url,Бренд 1 (Bravo),Бренд 1 (Bravo) url,Бренд 1 (Neptun),Бренд 1 (Neptun) url,Бренд 2 (Wolt),Бренд 2 (Wolt) url,Бренд 2 (Bravo),Бренд 2 (Bravo) url,Бренд 2 (Neptun),Бренд 2 (Neptun) url,Бренд 3 (Wolt),Бренд 3 (Wolt) url,Бренд 3 (Bravo),Бренд 3 (Bravo) url,Бренд 3 (Neptun),Бренд 3 (Neptun) url,Источник,Правило замены
152,🍼 Детское,Детское пюре,Uşaq püresi,Фруктовое,90 г,🟡,Aquşa Alma Banan Peçenye Püresi 6ay+ 90q,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/aqusa-alma-banan-pecenye-puresi-6ay-90q-itemid-679747c1c59beb1eed195852,"Aquşa Alma, Banan və Kurabiyə Puresi 6+ Aydan 90qr",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/aqusa-alma-banan-ve-kurabiye-puresi-6-aydan-90qr-itemid-51dd223a26bf6548210957c0,,,—,,,,,,—,,,,,,Поручить,Körpələr Üçün раздел
153,🍼 Детское,Подгузники,Uşaq bezi,40 шт,40 шт,🔴,Molfix Uşaq bezi 40əd,,,,,,Huggies 40əd,,,,,,—,,,,,,Wolt Market,Molfix — массовый. Huggies — премиум. Средняя
154,🧹 Хозтовары,Ср-во д/посуды,Qab yuyucu,Fairy,1 л,🟡,"Fairy Qabyuyan Maye Limon 1l
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/fairy-qabyuyan-maye-limon-1l-itemid-8f7dc8574ed32ddf7c38619d,Fairy Qabyuyan Maye Limon Ətirli 1l,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/fairy-qabyuyan-maye-limon-etirli-1l-itemid-53738f87cde5315fa7cff839,Fairy 900 ml Qabyuyan Maye Şirəli Limon,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/fairy-900-ml-qabyuyan-maye-sireli-limon-itemid-22ffc2a6a927c5895c1cf913,—,,,,,,—,,,,,,Wolt Market,Глобальный бенчмарк
155,🧹 Хозтовары,Стир. порошок,Yuyucu toz,Ariel,3 кг,🟡,"Ariel LS Ağ Qızılgül 3kq
",https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/ariel-ls-ag-qizilgul-3kq-itemid-679747c0c59beb1eed19377a,"Ariel Ağ Paltarlar üçün 3kq
",https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/ariel-ag-paltarlar-ucun-3kq-itemid-a6c1a2a8bbea5060b4e514d8,Ariel 3kq Yuyucu Toz Automat White,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/ariel-3kq-yuyucu-toz-automat-white-itemid-4621a8d6aa49a5e239b2ebb0,—,,,,,,—,,,,,,Wolt Market,Глобальный бенчмарк
156,🧹 Хозтовары,Туал. бумага,Tualet kağızı,4 рулона,4 шт,🟢,Aura Tualet Kağızı Parfumlu 4 Rulon,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/aura-tualet-kagizi-parfumlu-4-rulon-itemid-679747c0c59beb1eed194224,Aura Tualet Kağızı Perfumed 4əd,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/aura-tualet-kagizi-perfumed-4ed-itemid-335ec6b47efdcf390c0ff768,Aura Tualet Kağızı 3 Qat Ətirli 4lu,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/aura-tualet-kagizi-3-qat-etirli-4lu-itemid-e2e743e7c7de6a307ef3627a,Papia Tualet Kagızı 3 Qat 4 Rulon,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/papia-tualet-kagizi-3-qat-4-rulon-itemid-679747c0c59beb1eed194216,Papia Tualet Kağızı 3 Qat 4əd Secret Garden,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/papia-tualet-kagizi-3-qat-4ed-secret-garden-itemid-d611ec41a76ac3fb789d8079,Papia Tualet Kağızı Sekret 4-lu 3qat,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/papia-tualet-kagizi-sekret-4-lu-3qat-itemid-0b7800d1ea98f6bac0ba0c70,—,,,,,,Поручить,
157,🧹 Хозтовары,Зубная паста,Diş pastası,Colgate,75 мл,🟢,Colgate Max White Purple Reveal Diş Məcunu 75ml,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/colgate-max-white-purple-reveal-dis-mecunu-75ml-itemid-443a126c806c9f8cf3698710,Colgate Diş Məcunu Max White Purple Reveal,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/colgate-dis-mecunu-max-white-purple-reveal-itemid-fefb44b0c5e336fefd96c145,Colgate Maw White Purple Reveal Diş Məcunu 75 ml,https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/colgate-maw-white-purple-reveal-dis-mecunu-75-ml-itemid-ee9ae471c74e4b28aec48cc5,—,,,,,,—,,,,,,Wolt Market,
158,🧹 Хозтовары,Шампунь,Şampun,H&S,400 мл,🟢,Head&Shoulders Şampun Sitrus 400ml,https://wolt.com/ru/aze/baku/venue/wolt-market-nasimi/head-shoulders-sampun-sitrus-400ml-itemid-679747c0c59beb1eed193782,Head&Shoulders Saç üçün Şampun Sitrus Ətirli 400ml,https://wolt.com/ru/aze/baku/venue/bravo-supermarket-globus-centre/head-shoulders-sac-ucun-sampun-sitrus-etirli-400ml-itemid-e18a7da43136c437cd785194,"Head&Shoulders Citrus Fresh Şampun 360 ml
",https://wolt.com/ru/aze/baku/venue/neptun-supermarket-ag-sheher/head-shoulders-citrus-fresh-sampun-360-ml-itemid-625fa2e5a697b360210c4f4a,—,,,,,,—,,,,,,Wolt Market,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
ИТОГО: 158 продуктов | 2-3 источника: 33 | 1 источник: 53 | Поручить сотруднику: 72,,,,,,,,,,,,,,,,,,,,,,,,,,
